place_id,place_name,city,category,place_url,review_id,reviewer,reviewer_profile_url,rating,date_relative,review_text,was_translated,original_confirmed,text_truncated,scraped_at
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT210U1MybGhZMlZvWWtGclJWcHZTa1pOWkhwNE5sRRAB,Joynalbiplobabdin Abdin,https://www.google.com/maps/contrib/110241601438287145627/reviews?hl=en,4,22 minutes ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2tZeWFIcDRObGR5VTE5emNXaE9kWFZqV0VKTFdtYxAB,Hesah Alshmrani,https://www.google.com/maps/contrib/102549183631470753338/reviews?hl=en,5,29 minutes ago,تحسن ملحوظ بعد تغير الادارة ... اشكركم,True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2trMlRrOURWbGR1TTFwMloxODBPRnB5VlZSb2VYYxAB,فهد النهدي,https://www.google.com/maps/contrib/103968932792129976477/reviews?hl=en,1,2 hours ago,خدمات توصيل المندوب سئ جدا,True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT21SRVlYVnJkR1pEYTJSNWJHNTJWM0k1U1d4Wk5tYxAB,HKM Shahzad Bin hakeem,https://www.google.com/maps/contrib/111557748505727468153/reviews?hl=en,5,4 hours ago,"A traditional vibe, with a great museum",False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2tSM0xXcExNMll3UlZOaVpsZDRaMGd5TVVvMlJrRRAB,Abduljabbar Alaithan,https://www.google.com/maps/contrib/109268892464080382268/reviews?hl=en,1,8 hours ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2prMlpEZFRPR3hQUzI1bGJGWTRlSGt0YUd4VU4xRRAB,Mudassir Siddiqui,https://www.google.com/maps/contrib/113871745051462234691/reviews?hl=en,5,20 hours ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT25WcWFVeEdkM2xUWVdRMFFubGhaV05OYVdaNU9HYxAB,Fatmh Al mawuld,https://www.google.com/maps/contrib/103120269568844210833/reviews?hl=en,5,22 hours ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2s1bU5ERlpMVlJuZEhST2VrTXplVUY2UlRGdWQxRRAB,Mela,https://www.google.com/maps/contrib/105441028823541403188/reviews?hl=en,1,23 hours ago,ضاربة مشوارر احسبه متحف وشيء حلو طلع مطعم!! ليه مافي اي توضيح للمكان او ع الاقل ينكتب مطعم!!!!,True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2t0WVkxSlVNWGgwU0hkblVHRmZNMlpEZDJVM2VtYxAB,RIFA Balloon Designers,https://www.google.com/maps/contrib/113550173162030632551/reviews?hl=en,5,a day ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2xoUVRVOUVUV1ZQVGxJMmMySlViVTlOT0VvNVgxRRAB,waleed aziz,https://www.google.com/maps/contrib/107526542404221078328/reviews?hl=en,4,a day ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2xCTFpITlRlbmRTZURGWFQxZHZhV0k0TUMxT2RrRRAB,Jorb DT,https://www.google.com/maps/contrib/109740748719102899862/reviews?hl=en,4,Edited a day ago,I’m looking forward to bringing my family here so we can experience and appreciate this wonderful cultural museum together.,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT21ONGRsZDZVVlZPTTNaVU1saE1iakE0Unkxd1NHYxAB,Asya Ahmed,https://www.google.com/maps/contrib/118424583298333576788/reviews?hl=en,5,a day ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2pkQ2ExaHpNR2s0TW01d1RqbGxNVlZSYlRVMVoyYxAB,ابوعامر,https://www.google.com/maps/contrib/104196512630187003683/reviews?hl=en,5,a day ago,تراث جميل يحمل في طياته ذكريات الماضي بأشكاله زياره ممتعه ومكان رائع,True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT210U1FWTjNhVTlUY0Mxd1NURnlRa1l4U1VGTFYyYxAB,Ahmed Ali,https://www.google.com/maps/contrib/115067713728119323769/reviews?hl=en,1,a day ago,"حرام والله النقطة الدخول الواحد ٢٥ ريال
والله خسارة فيه حتى خمسة ريال
لا انصح بالذهاب اليه
ما فيه شي يذكر أبدا",True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2t3MFduTkdiamxMVmxWZmMwRTNOVlEwZDNvMlZGRRAB,Habijur Rahman,https://www.google.com/maps/contrib/112795163684055807706/reviews?hl=en,5,a day ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT25oUFZXTnBSelF4T1c1SlZUTnNSbU5CVEZwWGVtYxAB,saeed ahmed,https://www.google.com/maps/contrib/110091266164320858990/reviews?hl=en,1,2 days ago,"اولا تعامل الكاشير غير ودي ويرتدي الروب متسخ جداً
ثانياً الفواكه ليس لها طعم بتاتاً والايسكريم ايضاً
تجربه سيئه جداً
عصير المانجو اعتقد انه خربان",True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2xOclJXcFdaVVo2WDFacGN6bElUblU0ZFZkbFptYxAB,Mansour Nasser,https://www.google.com/maps/contrib/109824162194425232244/reviews?hl=en,4,3 days ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT21OUlNqUkphemRrV0hwUVlUTXhMVlpFVWtaZlRFRRAB,حمودي حمادة,https://www.google.com/maps/contrib/100259754380977286400/reviews?hl=en,5,4 days ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2xjMGVESnVTVFJ2VUdsa2VUZDZZMmhJUjFWSGIzYxAB,Mera Macmep,https://www.google.com/maps/contrib/104505676979802118426/reviews?hl=en,5,4 days ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT25JMlgyVk9ZalpEYWxCRWRreFNiR2xtU0ZZeFYyYxAB,Khalid Albalushi,https://www.google.com/maps/contrib/106088729759179574074/reviews?hl=en,5,4 days ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2xGVWJFZzVSVWRFY1ZvM1YxZEZaMHAyWlhCeWVtYxAB,رائد,https://www.google.com/maps/contrib/115660150709196688451/reviews?hl=en,2,4 days ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,ChdDSUhNMG9nS0VJQ0FnSUM0NE1tVjdRRRAB,Jaffar Albahrani,https://www.google.com/maps/contrib/114867272422739950664/reviews?hl=en,5,Edited 5 days ago,"موقع مميز أصبح وجهة جاذبة لمختلف زوار المنطقة نظرا لكونه موقع مميز ذي طابع تراثي عمراني ويحتوي على متحف منظم بشكل ملفت ومن جانب آخر يقدم أطباق سعودية مميزة
أسعاره في متناول الجميع ولديه مساحة كبيرة للمواقف إلى جانب مواقف لذوي الاحتياجات",True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2pCdmIxUXpTSEl0TWtKWVZUaDRXRUpwTTJ0clpFRRAB,hussain ali,https://www.google.com/maps/contrib/109455269334351178163/reviews?hl=en,4,5 days ago,المكان كان حار والتكيف غير جيد بس مجمل يحتاج غربه في اسعار الاكل الاكل غالي والكمية قليله جدا,True,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2tjMWN5MW5kMWgyWWxvNFUyMHRSV0phVDBsVVIwRRAB,M Dobais,https://www.google.com/maps/contrib/115812523899201764951/reviews?hl=en,3,5 days ago,,False,True,False,2026-09-25
P02,القرية الشعبية,الدمام,تراثي / ثقافي,https://maps.app.goo.gl/oNadKmXoFmk9e4Di9,Ci9DQUlRQUNvZENodHljRjlvT2trNU9XeFJjWEJWZWpGUFdHMXNkM1p0WldRd1dGRRAB,Mohammad Taha,https://www.google.com/maps/contrib/109999295558300222488/reviews?hl=en,5,6 days ago,,False,True,False,2026-09-25
